"name"	"taxRank"	"taxID"	"Max"	"barcode01.cladeReads"	"barcode02.cladeReads"	"barcode03.cladeReads"	"barcode04.cladeReads"	"barcode05.cladeReads"	"lineage"
"Brachyspira intermedia><wbr>Brachyspira intermedia PWS/A"	"-"	1045858	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Brachyspirales>Brachyspiraceae>Brachyspira>Brachyspira&nbsp;intermedia"
"Viruses><wbr>...><wbr>Acinetobacter phage Ac42"	"S"	762660	1	NA	1	NA	NA	NA	"Viruses>Caudovirales>Myoviridae>Tevenvirinae>unclassified&nbsp;Tevenvirinae"
"Viruses><wbr>...><wbr>Geobacillus virus E3"	"S"	1572712	1	NA	1	NA	NA	NA	"Viruses>Caudovirales>Siphoviridae>unclassified&nbsp;Siphoviridae"
"Viruses><wbr>...><wbr>Cellulophaga phage phi46:3"	"S"	1327985	1	NA	1	NA	NA	NA	"Viruses>Caudovirales>Podoviridae>unclassified&nbsp;Podoviridae"
"Viruses><wbr>...><wbr>Kochikohdavirus"	"G"	2560160	1	NA	1	NA	NA	NA	"Viruses>Caudovirales>Herelleviridae>Brockvirinae"
"Viruses><wbr>...><wbr>High Plains wheat mosaic emaravirus"	"S"	1980428	1	NA	1	NA	NA	NA	"Viruses>Riboviria>Negarnaviricota>Polyploviricotina>Ellioviricetes>Bunyavirales>Fimoviridae>Emaravirus"
"Viruses><wbr>...><wbr>Drosophila innubila nudivirus"	"S"	2057187	1	NA	1	NA	NA	NA	"Viruses>Nudiviridae>unclassified&nbsp;Nudiviridae"
"Viruses><wbr>...><wbr>Bombyx mori nucleopolyhedrovirus"	"S"	271108	1	NA	1	NA	NA	NA	"Viruses>Baculoviridae>Alphabaculovirus"
"Opisthokonta><wbr>...><wbr>Sclerotinia sclerotiorum"	"S"	5180	2	NA	NA	1	NA	2	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Leotiomycetes>Helotiales>Sclerotiniaceae>Sclerotinia"
"Fusarium fujikuroi species complex><wbr>Fusarium verticillioides><wbr>Fusarium verticillioides 7600"	"-"	334819	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Sordariomycetes>Hypocreomycetidae>Hypocreales>Nectriaceae>Fusarium>Fusarium&nbsp;fujikuroi&nbsp;species&nbsp;complex>Fusarium&nbsp;verticillioides"
"Fusarium sambucinum species complex><wbr>Fusarium pseudograminearum><wbr>Fusarium pseudograminearum CS3096"	"-"	1028729	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Sordariomycetes>Hypocreomycetidae>Hypocreales>Nectriaceae>Fusarium>Fusarium&nbsp;sambucinum&nbsp;species&nbsp;complex>Fusarium&nbsp;pseudograminearum"
"Opisthokonta><wbr>...><wbr>Thielavia terrestris NRRL 8126"	"-"	578455	1	NA	NA	1	NA	1	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Pezizomycotina>leotiomyceta>sordariomyceta>Sordariomycetes>Sordariomycetidae>Sordariales>Chaetomiaceae>Thielavia>Thielavia&nbsp;terrestris"
"Candida dubliniensis><wbr>Candida dubliniensis CD36"	"-"	573826	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Debaryomycetaceae>Candida/Lodderomyces&nbsp;clade>Candida>Candida&nbsp;dubliniensis"
"Opisthokonta><wbr>...><wbr>Scheffersomyces stipitis CBS 6054"	"-"	322104	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Debaryomycetaceae>Scheffersomyces>Scheffersomyces&nbsp;stipitis"
"Opisthokonta><wbr>...><wbr>Komagataella phaffii GS115"	"-"	644223	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>saccharomyceta>Saccharomycotina>Saccharomycetes>Saccharomycetales>Phaffomycetaceae>Komagataella>Komagataella&nbsp;phaffii"
"Opisthokonta><wbr>...><wbr>Schizosaccharomyces pombe"	"S"	4896	1	NA	NA	1	NA	1	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Fungi>Dikarya>Ascomycota>Taphrinomycotina>Schizosaccharomycetes>Schizosaccharomycetales>Schizosaccharomycetaceae>Schizosaccharomyces"
"Escherichia marmotae"	"S"	1499973	22	NA	NA	22	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"unclassified Enterobacteriaceae><wbr>...><wbr>Candidatus Tachikawaea gelatinosa"	"S"	1410383	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant,&nbsp;tsetse,&nbsp;mealybug,&nbsp;aphid,&nbsp;etc.&nbsp;endosymbionts>Candidatus&nbsp;Tachikawaea"
"Serratia marcescens subsp. marcescens><wbr>Serratia marcescens subsp. marcescens Db11"	"-"	273526	2	NA	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia>Serratia&nbsp;marcescens>Serratia&nbsp;marcescens&nbsp;subsp.&nbsp;marcescens"
"Serratia marcescens SMB2099"	"-"	1401254	2	NA	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia>Serratia&nbsp;marcescens"
"Serratia sp. YD25"	"S"	1759437	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae>Serratia"
"Yersiniaceae><wbr>Yersinia"	"G"	629	3	NA	NA	2	NA	3	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
"Morganellaceae><wbr>Arsenophonus><wbr>Arsenophonus nasoniae"	"S"	638	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae>Arsenophonus"
"Morganellaceae><wbr>...><wbr>Photorhabdus laumondii subsp. laumondii"	"-"	141679	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae>Photorhabdus>Photorhabdus&nbsp;laumondii"
"Erwiniaceae><wbr>...><wbr>Buchnera aphidicola (Myzus persicae)"	"-"	98795	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Buchnera>Buchnera&nbsp;aphidicola"
"Pseudomonas stutzeri group><wbr>Pseudomonas stutzeri subgroup><wbr>Pseudomonas stutzeri"	"S"	316	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;stutzeri&nbsp;group>Pseudomonas&nbsp;stutzeri&nbsp;subgroup"
"Pseudomonas putida group><wbr>Pseudomonas putida"	"S"	303	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;putida&nbsp;group"
"Pseudomonas fluorescens group><wbr>Pseudomonas azotoformans"	"S"	47878	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;fluorescens&nbsp;group"
"Acinetobacter equi"	"S"	1324350	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae>Acinetobacter"
"Alteromonadales><wbr>...><wbr>Colwellia sp. Arc7-D"	"S"	2161872	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Colwelliaceae>Colwellia"
"Alteromonadales><wbr>...><wbr>Thalassotalea sp. HSM 34"	"S"	2552945	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Colwelliaceae>Thalassotalea"
"Alteromonadales><wbr>...><wbr>Paraglaciecola psychrophila 170"	"-"	1129794	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Paraglaciecola>Paraglaciecola&nbsp;psychrophila"
"Vibrionales><wbr>...><wbr>Aliivibrio fischeri SR5"	"-"	1088719	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae>Aliivibrio>Aliivibrio&nbsp;fischeri"
"Thiotrichales><wbr>...><wbr>Francisella sp. TX077308"	"S"	573569	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Francisellaceae>Francisella"
"Agrobacterium><wbr>Agrobacterium tumefaciens complex><wbr>Agrobacterium fabrum"	"S"	1176649	2	NA	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium>Agrobacterium&nbsp;tumefaciens&nbsp;complex"
"Rhizobium"	"G"	379	1	NA	NA	1	1	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Rhizobium leguminosarum><wbr>Rhizobium leguminosarum bv. trifolii><wbr>Rhizobium leguminosarum bv. trifolii CB782"	"-"	1033991	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>Rhizobium&nbsp;leguminosarum>Rhizobium&nbsp;leguminosarum&nbsp;bv.&nbsp;trifolii"
"Alphaproteobacteria><wbr>...><wbr>Pelagibacterium halotolerans B2"	"-"	1082931	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Hyphomicrobiaceae>Pelagibacterium>Pelagibacterium&nbsp;halotolerans"
"Alphaproteobacteria><wbr>...><wbr>Chelativorans sp. BNC1"	"S"	266779	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Phyllobacteriaceae>Chelativorans"
"Alphaproteobacteria><wbr>...><wbr>Methylobacterium sp. DM1"	"S"	2067957	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Methylobacteriaceae>Methylobacterium"
"Rickettsia akari><wbr>Rickettsia akari str. Hartford"	"-"	293614	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Rickettsia>spotted&nbsp;fever&nbsp;group>Rickettsia&nbsp;akari"
"Alphaproteobacteria><wbr>...><wbr>Wolbachia endosymbiont of Bemisia tabaci"	"S"	215173	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Wolbachieae>Wolbachia"
"Alphaproteobacteria><wbr>...><wbr>Rhodovulum sp. P5"	"S"	1564506	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodovulum"
"Alphaproteobacteria><wbr>...><wbr>Sagittula sp. P11"	"S"	2009329	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Sagittula"
"Alphaproteobacteria><wbr>...><wbr>Sphingobium yanoikuyae"	"S"	13690	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingobium"
"Alphaproteobacteria><wbr>...><wbr>Rhizorhabdus dicambivorans"	"S"	1850238	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Rhizorhabdus"
"pseudomallei group><wbr>Burkholderia pseudomallei"	"S"	28450	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Burkholderia>pseudomallei&nbsp;group"
"Betaproteobacteria><wbr>...><wbr>Cupriavidus metallidurans CH34"	"-"	266264	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Cupriavidus>Cupriavidus&nbsp;metallidurans"
"Betaproteobacteria><wbr>...><wbr>Bordetella bronchialis"	"S"	463025	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Bordetella"
"Betaproteobacteria><wbr>...><wbr>Delftia acidovorans SPH-1"	"-"	398578	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia>Delftia&nbsp;acidovorans"
"Betaproteobacteria><wbr>...><wbr>Chromobacterium rhizoryzae"	"S"	1778675	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales>Chromobacteriaceae>Chromobacterium&nbsp;group>Chromobacterium"
"Helicobacteraceae><wbr>Helicobacter><wbr>Helicobacter pylori"	"S"	210	3	NA	NA	3	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter"
"Helicobacter pylori SNT49"	"-"	1055530	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter>Helicobacter&nbsp;pylori"
"Helicobacter pylori India7"	"-"	907238	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae>Helicobacter>Helicobacter&nbsp;pylori"
"delta/epsilon subdivisions><wbr>...><wbr>Desulfobacca acetoxidans DSM 11109"	"-"	880072	1	NA	NA	1	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Syntrophobacterales>Syntrophaceae>Desulfobacca>Desulfobacca&nbsp;acetoxidans"
"Bacillus cereus group><wbr>Bacillus albus"	"S"	2026189	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus sp. Y1"	"S"	352858	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Paenibacillus sp. IHBB 10380"	"S"	1566358	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus sp. BIHB4019"	"S"	1870819	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Brevibacillus><wbr>Brevibacillus brevis><wbr>Brevibacillus brevis X23"	"-"	1200792	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Brevibacillus>Brevibacillus&nbsp;brevis"
"Planococcaceae><wbr>Sporosarcina><wbr>Sporosarcina ureae"	"S"	1571	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Sporosarcina"
"Bacilli><wbr>...><wbr>Lactobacillus kullabergensis"	"S"	1218493	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Bacilli><wbr>...><wbr>Pediococcus damnosus"	"S"	51663	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Pediococcus"
"Bacilli><wbr>...><wbr>Streptococcus pyogenes"	"S"	1314	1	NA	NA	1	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Bacilli><wbr>...><wbr>Oenococcus oeni"	"S"	1247	1	NA	NA	1	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae>Oenococcus"
"Bacilli><wbr>...><wbr>Enterococcus casseliflavus"	"S"	37734	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"Clostridium botulinum"	"S"	1491	1	NA	NA	1	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium butyricum"	"S"	1492	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium sp. JN500901"	"S"	2068654	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium sp. DL-VIII"	"S"	641107	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridiaceae><wbr>Geosporobacter><wbr>Geosporobacter ferrireducens"	"S"	1424294	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Geosporobacter"
"Peptococcaceae><wbr>Dehalobacterium><wbr>Dehalobacterium formicoaceticum"	"S"	51515	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Dehalobacterium"
"Hungateiclostridiaceae><wbr>...><wbr>Hungateiclostridium thermocellum ATCC 27405"	"-"	203119	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae>Hungateiclostridium>Hungateiclostridium&nbsp;thermocellum"
"Clostridia><wbr>...><wbr>Tepidanaerobacter acetatoxydans Re1"	"-"	1209989	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Tepidanaerobacter>Tepidanaerobacter&nbsp;acetatoxydans"
"Clostridia><wbr>...><wbr>Thermodesulfobium acidiphilum"	"S"	1794699	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermodesulfobiaceae>Thermodesulfobium"
"Erysipelotrichia><wbr>...><wbr>Turicibacter sp. H121"	"S"	1712675	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae>Turicibacter"
"Microbacterium sp. DFW100M-13"	"S"	2509458	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Actinobacteria><wbr>...><wbr>Leifsonia sp. 21MFCrub1.1"	"S"	1798223	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Leifsonia"
"Actinobacteria><wbr>...><wbr>Pseudarthrobacter sulfonivorans"	"S"	121292	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Micrococcaceae>Pseudarthrobacter"
"Actinobacteria><wbr>...><wbr>Mycobacterium"	"G"	1763	1	NA	NA	1	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae"
"Mycobacterium sp. EPa45"	"S"	1545728	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycobacterium"
"Actinobacteria><wbr>...><wbr>Mycolicibacter terrae"	"S"	1788	1	NA	NA	1	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacter"
"Actinobacteria><wbr>...><wbr>Nocardia seriolae"	"S"	37332	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Nocardiaceae>Nocardia"
"Actinobacteria><wbr>...><wbr>Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043"	"-"	566552	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium>Bifidobacterium&nbsp;catenulatum"
"Actinobacteria><wbr>...><wbr>Modestobacter marinus"	"S"	477641	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Geodermatophilales>Geodermatophilaceae>Modestobacter"
"Mycoplasma conjunctivae"	"S"	45361	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma"
"Mycoplasma yeatsii><wbr>Mycoplasma yeatsii GM274B"	"-"	743967	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma>Mycoplasma&nbsp;yeatsii"
"Mycoplasma cynos><wbr>Mycoplasma cynos C142"	"-"	1246955	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma>Mycoplasma&nbsp;cynos"
"Tenericutes><wbr>...><wbr>Candidatus Phytoplasma asteris"	"-"	85620	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Acholeplasmatales>Acholeplasmataceae>Candidatus&nbsp;Phytoplasma"
"Oscillatoriophycideae><wbr>...><wbr>Cyanothece sp. PCC 7424"	"S"	65393	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae>Cyanothece"
"Oscillatoriophycideae><wbr>...><wbr>Crinalium epipsammum PCC 9333"	"-"	1173022	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae>Crinalium>Crinalium&nbsp;epipsammum"
"Calothrix parietina><wbr>Calothrix sp. PCC 6303"	"-"	1170562	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix>Calothrix&nbsp;parietina"
"Synechococcales><wbr>...><wbr>Prochlorococcus marinus str. NATL1A"	"-"	167555	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"FCB group><wbr>...><wbr>Flavobacterium crocinum"	"S"	2183896	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavobacterium"
"Chryseobacterium indologenes"	"S"	253	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Chryseobacterium"
"Chryseobacterium sp. G0162"	"S"	2487063	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Chryseobacterium"
"FCB group><wbr>...><wbr>Elizabethkingia meningoseptica"	"S"	238	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Elizabethkingia"
"FCB group><wbr>...><wbr>Maribacter sp. MAR_2009_60"	"S"	1250153	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Maribacter"
